(PDH-CSV 4.0) (,\\YUUSUKE-VAIO\Memory\Available Bytes,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Connection Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Database Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Free Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Granted Workspace Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Lock Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Optimizer Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Reserved Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\SQL Cache Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Stolen Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Log Pool Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Memory Manager\Total Server Memory (KB),\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Buffer cache hit ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Buffer Manager\Page life expectancy,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Hit Ratio,\\YUUSUKE-VAIO\MSSQL$INS_NISHI2016:Plan Cache(_Total)\Cache Pages
07/22/2016 21:04:50,2311405568.0,1120,69560,36834.03175,0,768,1008.0,0,1608.0,206812.5714,1400,303700.5714,100,6485.142857,53.26854778,694.4285714
07/22/2016 21:05:05,2319545637.0,1120,69560,37033.65079,0,768,1008.0,0,1608.0,206921.1429,1400,303652.2857,100,6500.071429,53.23828806,699.5
07/22/2016 21:05:20,2327685705.0,1120,69560,37233.26984,0,768,1008.0,0,1608.0,207029.7143,1400,303604.0,100,6515.0,53.20802833,704.5714286
07/22/2016 21:05:35,2335825774.0,1120,69560,37432.88889,0,768,1008.0,0,1608.0,207138.2857,1400,303555.7143,100,6529.928571,53.1777686,709.6428571
07/22/2016 21:05:50,2343965842.0,1120,69560,37632.50794,0,768,1008.0,0,1608.0,207246.8571,1400,303507.4286,100,6544.857143,53.14750887,714.7142857
07/22/2016 21:06:05,2352105911.0,1120,69560,37832.12698,0,768,1008.0,0,1608.0,207355.4286,1400,303459.1429,100,6559.785714,53.11724914,719.7857143
07/22/2016 21:06:20,2360245979.0,1120,69560,38031.74603,0,768,1008.0,0,1608.0,207464.0,1400,303410.8571,100,6574.714286,53.08698941,724.8571429
07/22/2016 21:06:35,2368386048.0,1120,69560,38231.36508,0,768,1008.0,0,1608.0,207572.5714,1400,303362.5714,100,6589.642857,53.05672968,729.9285714
07/22/2016 21:06:50,2376526117.0,1120,69560,38430.98413,0,768,1008.0,0,1608.0,207681.1429,1400,303314.2857,100,6604.571429,53.02646995,735.0
07/22/2016 21:07:05,2384666185.0,1120,69560,38630.60317,0,768,1008.0,0,1608.0,207789.7143,1400,303266.0,100,6619.5,52.99621022,740.0714286
07/22/2016 21:07:20,2392806254.0,1120,69560,38830.22222,0,768,1008.0,0,1608.0,207898.2857,1400,303217.7143,100,6634.428571,52.96595049,745.1428571
07/22/2016 21:07:35,2400946322.0,1120,69560,39029.84127,0,768,1008.0,0,1608.0,208006.8571,1400,303169.4286,100,6649.357143,52.93569076,750.2142857
07/22/2016 21:07:50,2409086391.0,1120,69560,39229.46032,0,768,1008.0,0,1608.0,208115.4286,1400,303121.1429,100,6664.285714,52.90543103,755.2857143
07/22/2016 21:08:05,2417226459.0,1120,69560,39429.07937,0,768,1008.0,0,1608.0,208224.0,1400,303072.8571,100,6679.214286,52.8751713,760.3571429
07/22/2016 21:08:20,2425366528.0,1120,69560,39628.69841,0,768,1008.0,0,1608.0,208332.5714,1400,303024.5714,100,6694.142857,52.84491157,765.4285714
07/22/2016 21:08:35,2433506597.0,1120,69560,39828.31746,0,768,1008.0,0,1608.0,208441.1429,1400,302976.2857,100,6709.071429,52.81465184,770.5
07/22/2016 21:08:50,2441646665.0,1120,69560,40027.93651,0,768,1008.0,0,1608.0,208549.7143,1400,302928.0,100,6724.0,52.78439211,775.5714286
07/22/2016 21:09:05,2449786734.0,1120,69560,40227.55556,0,768,1008.0,0,1608.0,208658.2857,1400,302879.7143,100,6738.928571,52.75413238,780.6428571
07/22/2016 21:09:20,2457926802.0,1120,69560,40427.1746,0,768,1008.0,0,1608.0,208766.8571,1400,302831.4286,100,6753.857143,52.72387265,785.7142857
07/22/2016 21:09:35,2466066871.0,1120,69560,40626.79365,0,768,1008.0,0,1608.0,208875.4286,1400,302783.1429,100,6768.785714,52.69361292,790.7857143
07/22/2016 21:09:50,2474206939.0,1120,69560,40826.4127,0,768,1008.0,0,1608.0,208984.0,1400,302734.8571,100,6783.714286,52.66335319,795.8571429
