(PDH-CSV 4.0) (,Memory Manager\Database Cache Memory (MB),Memory Manager\Stolen Server Memory (MB),Memory Manager\Free Memory (MB),Memory Manager\Total Server Memory (MB),Memory Manager\Connection Memory (MB),Memory Manager\Lock Memory (MB),Memory Manager\Optimizer Memory (MB),Memory Manager\SQL Cache Memory (MB),Plan Cache(_Total)\Cache Memory (MB),Memory Manager\Reserved Server Memory (MB),Memory Manager\Granted Workspace Memory (MB),Buffer Manager\Page life expectancy,Buffer Manager\Lazy writes/sec,Buffer Manager\Buffer cache hit ratio,Plan Cache(_Total)\Cache Hit Ratio
11/28/2016 21:54:50.417,690.796875,301.0390625,32.15625,1023.9921875,1.3671875,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,2.6003662492374442,99.9971266349,86.9424168694
11/28/2016 21:55:00.428,691.3828125,300.375,32.234375,1023.9921875,1.3671875,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,8,3.695964363361405,99.998823803,86.9529983793
11/28/2016 21:55:10.424,690.1015625,300.7109375,33.1796875,1023.9921875,1.3203125,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,10,1.5005088065201166,99.9982257383,86.963562753
11/28/2016 21:55:20.422,690.375,301.0703125,32.546875,1023.9921875,1.3203125,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,2.2005099326404292,99.9985787998,86.9741100324
11/28/2016 21:55:30.429,690.390625,300.7109375,32.890625,1023.9921875,1.3203125,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,10,1.2990751003251881,99.9989628589,86.9846402587
11/28/2016 21:55:40.419,690.75,300.6640625,32.578125,1023.9921875,1.3203125,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,11,1.5014485150387575,99.9990062552,86.9951534733
11/28/2016 21:55:50.424,691.5703125,300.453125,31.96875,1023.9921875,1.3203125,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,7,1.2994131033400695,99.9985965779,87.0161290323
11/28/2016 21:56:00.427,691.328125,300.625,32.0390625,1023.9921875,1.3203125,14.734375,0.9921875,1.6640625,24.1796875,0.0,0.0,9,2.099388688060988,99.9981063173,87.0265914585
11/28/2016 21:56:10.420,683.2890625,308.640625,32.0390625,1023.96875,1.3203125,14.734375,0.9921875,1.6640625,24.234375,0.0,0.0,10,2.5016593363972635,99.9966690756,87.037037037
11/28/2016 21:56:20.426,32.015625,972.984375,18.90625,1023.90625,1.3203125,14.9375,0.9921875,1.6484375,691.0625,0.0,0.0,0,25.885750822677078,0.872093023256,87.012464817
11/28/2016 21:56:30.424,131.8046875,282.09375,610.09375,1023.9921875,1.3125,14.9375,0.9921875,1.6484375,2.84375,0.0,0.0,9,26.404978263475375,99.2866696389,86.9827239855
11/28/2016 21:56:40.425,310.890625,282.171875,430.9296875,1023.9921875,1.3125,14.9375,0.9921875,1.6484375,2.90625,0.0,0.0,19,0,98.5974754558,86.9931754316
11/28/2016 21:56:50.418,478.7734375,282.3046875,262.9140625,1023.9921875,1.3125,14.9375,0.9921875,1.6484375,2.9921875,0.0,0.0,30,0,99.3234672304,86.9338677355
11/28/2016 21:57:00.415,619.0546875,282.4375,122.5,1023.9921875,1.3125,14.9375,0.9921875,1.6484375,3.015625,0.0,0.0,40,0,100.0,86.9443331998
11/28/2016 21:57:10.417,619.0546875,282.4375,122.5,1023.9921875,1.3125,14.9375,0.9921875,1.6484375,3.015625,0.0,0.0,50,0,100.0,86.9547819128
11/28/2016 21:57:20.419,619.0546875,282.4375,122.5,1023.9921875,1.3125,14.9375,0.9921875,1.6484375,3.015625,0.0,0.0,60,0,100.0,86.9652139144
11/28/2016 21:57:30.417,619.0546875,282.4375,122.5,1023.9921875,1.3125,14.9375,0.9921875,1.6484375,3.015625,0.0,0.0,70,0,100.0,86.9756292449
